Game Date: 2026-08-27,Our Team: CB Argentona,Opponent: CB Barberà
Period,Timestamp,Slot,Player,Possession State,Action,Zone,Result,Duration(s),Paint Touch,Fastbreak,Crunch Time
"Q1","17:59:26","1","#7","defense","Substitution","None","Slot 1: Out #7 / In #23",21.3,"No","No","No"
"Q1","17:59:53","3","#9","defense","Substitution","None","Slot 3: Out #9 / In #7",21.3,"No","No","No"
"Q1","17:59:56","2","#8","defense","Substitution","None","Slot 2: Out #8 / In #9",21.3,"No","No","No"
"Q1","17:59:59","3","#7","defense","Substitution","None","Slot 3: Out #7 / In #8",21.3,"No","No","No"
"Q1","18:00:01","4","#11","defense","Substitution","None","Slot 4: Out #11 / In #24",21.3,"No","No","No"
"Q1","18:00:02","5","#13","defense","Substitution","None","Slot 5: Out #13 / In #16",21.3,"No","No","No"
"Q1","18:01:26","1","#23","defense","Deflection","None","Success",14.4,"No","No","No"
"Q1","18:01:26","Team","Team","defense","Opponent Turnover","None","Success",14.4,"No","No","No"
"Q1","18:01:44","4","#24","offense","RIM Shot","RIM","Miss",9.8,"Yes","No","No"
"Q1","18:01:45","Team","Team","offense","Opponent Def Rebound","None","Loss",9.8,"No","No","No"
"Q1","18:01:49","2","#9","defense","Steal","None","Success",3.2,"No","No","No"
"Q1","18:01:54","2","#9","offense","Assist","None","To ##16",2.2,"Yes","Yes","No"
"Q1","18:01:54","5","#16","offense","RIM Shot","RIM","Make",2.2,"No","No","No"
"Q1","18:02:15","1","#23","defense","Personal Foul","None","Foul #1",3.1,"No","No","No"
"Q1","18:02:21","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",3.1,"No","Yes","No"
"Q1","18:02:24","1","#23","defense","Def Rebound","None","Success",3.1,"No","No","No"
"Q1","18:02:31","1","#23","offense","Assist","None","To ##9",2.8,"Yes","Yes","No"
"Q1","18:02:31","2","#9","offense","RIM Shot","RIM","Make",2.8,"No","No","No"
"Q1","18:02:43","4","#24","defense","Steal","None","Success",6.9,"No","No","No"
"Q1","18:02:47","4","#24","offense","Assist","None","To ##9",2.4,"Yes","Yes","No"
"Q1","18:02:47","2","#9","offense","RIM Shot","RIM","Make",2.4,"No","No","No"
"Q1","18:03:16","Team","Team","defense","Opponent Turnover","None","Unforced",20,"No","No","No"
"Q1","18:03:33","4","#24","offense","ATB3 Shot","ATB3","Miss",9.4,"No","No","No"
"Q1","18:03:34","Team","Team","offense","Opponent Def Rebound","None","Loss",9.9,"No","No","No"
"Q1","18:03:44","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",8.5,"No","No","No"
"Q1","18:03:45","4","#24","defense","Def Rebound","None","Success",9.9,"No","No","No"
"Q1","18:03:52","1","#23","offense","RIM Shot","RIM","Miss",5.7,"Yes","Yes","No"
"Q1","18:03:59","1","#23","offense","Off Rebound","None","Success",11.3,"No","No","No"
"Q1","18:04:16","2","#9","offense","Assist","None","To ##8",12.8,"No","No","No"
"Q1","18:04:16","3","#8","offense","C3 Shot","C3","Make",12.8,"No","No","No"
"Q1","18:04:42","4","#24","defense","Substitution","None","Slot 4: Out #24 / In #13",6.5,"No","No","No"
"Q1","18:04:45","1","#23","defense","Personal Foul","None","Foul #2",6.5,"No","No","No"
"Q1","18:05:01","Team","Team","defense","Opponent PAINT Shot","PAINT","Miss",18,"Yes","No","No"
"Q1","18:05:05","4","#13","defense","Def Rebound","None","Success",21.6,"No","No","No"
"Q1","18:05:14","2","#9","offense","RIM Shot","RIM","Miss",7.4,"Yes","Yes","No"
