Game Date: 2026-08-27,Our Team: CB Argentona,Opponent: CB Barberà,Report: Advanced Metrics (Full Game Final)

Metric,"Our Team (CB Argentona)","Opponent (CB Barberà)"
Game Score,97,87
1. Effective FG% (eFG%),"61.2%","52.5%"
2. Turnover Rate (TO%),"20.3%","24.9%"
3. Offensive Rebound% (OREB%),"21.6%","36.8%"
4. Free Throw Rate (FT Rate),0.22,0.40
Overall Points Per Shot (PPS),1.45,1.45
Points Off Live TO (PTS OFF TO),27,22
Live Turnovers (LTO),14,18
Dead Turnovers (DTO),6,7
Total Fastbreaks,28,23
2nd Chance Points,7,13
Defensive Kills (3 Stops),9,4
Stocks (Steals + Blocks),22,16
Team Fouls,30,20
