Game Date: 2026-09-13,Our Team: CB Argentona,Opponent: Sant Gervasi,Report: Advanced Metrics (Full Game Final)

Metric,"Our Team (CB Argentona)","Opponent (Sant Gervasi)"
Game Score,62,63
Average Possessions (Pace),85.5,85.5
Projected 40m Game Pace,85,85
Total Team Possessions,85,86
1. Effective FG% (eFG%),"42.1%","37.3%"
2. Turnover Rate (TO%),"22.1%","19.3%"
3. Offensive Rebound% (OREB%),"24.5%","14.3%"
4. Free Throw Rate (FT Rate),0.16,0.38
3P Attempt Rate (3PAr),"41.3%","45.5%"
Overall Points Per Shot (PPS),0.84,0.75
Overall Points Per Shot (PPS),0.84,0.75
Points Off Live TO (PTS OFF TO),12,10
Live Turnovers (LTO),18,12
Dead Turnovers (DTO),3,5
Total Fastbreaks,7,8
2nd Chance Points,9,4
Defensive Kills (3 Stops),9,10
Stocks (Steals + Blocks),17,19
Team Fouls,6,6
