Game Date: 2026-09-13,Our Team: CB Argentona,Opponent: Sant Gervasi
Player,Name,MIN,Points,FTM,FTA,FT%,2PM,2PA,2P%,3PM,3PA,3P%,RIM(M),RIM(A),PAINT(M),PAINT(A),MR(M),MR(A),ATB3(M),ATB3(A),C3(M),C3(A),FB(M),FB(Miss),2ndCh(M),2ndCh(Miss),Off Reb,Def Reb,Assists,Steals,Blocks,Stocks,Deflections,Turnovers,LTO,DTO,Fouls,Fouls Drawn
"#1","Víctor Domingo","04:33",2,0,0,"0.0%",1,1,"100.0%",0,0,"0.0%",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"#7","Iñaki Jarque","09:25",3,0,0,"0.0%",0,0,"0.0%",1,1,"100.0%",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0
"#8","Xavi Blanco","28:18",10,0,0,"0.0%",2,6,"33.3%",2,6,"33.3%",1,2,1,4,0,0,0,1,2,5,0,1,0,2,1,2,1,1,0,1,2,3,3,0,3,2
"#9","Martí Martori","31:07",24,4,5,"80.0%",7,9,"77.8%",2,9,"22.2%",7,7,0,0,0,2,2,7,0,2,1,0,2,1,0,7,0,1,1,2,5,3,3,0,4,5
"#11","Biel Font","29:27",7,1,4,"25.0%",3,9,"33.3%",0,3,"0.0%",3,9,0,0,0,0,0,1,0,2,0,1,0,1,3,8,0,5,3,8,1,1,0,1,2,3
"#13","Àlex López","16:18",0,0,2,"0.0%",0,4,"0.0%",0,0,"0.0%",0,2,0,2,0,0,0,0,0,0,0,0,0,2,3,7,0,0,1,1,0,3,3,0,2,3
"#15","Adrià Tena","18:28",2,0,4,"0.0%",1,2,"50.0%",0,0,"0.0%",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,3,2
"#23","Pol Villagrasa","13:35",0,0,0,"0.0%",0,1,"0.0%",0,0,"0.0%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,1,2,2,0,1,0
"#24","Pau Peiró","28:55",11,4,8,"50.0%",2,4,"50.0%",1,4,"25.0%",2,4,0,0,0,0,1,4,0,0,0,1,0,0,2,6,4,1,0,1,1,6,4,2,4,4
"#32","Aitor Basterra","11:37",4,1,2,"50.0%",0,0,"0.0%",1,3,"33.3%",0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1
"#35","Armando José Helguin","08:17",0,0,0,"0.0%",0,1,"0.0%",0,0,"0.0%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,1,0,3,0
"Team","Team Rebounds / TO","-",0,0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"TOTALS","CB ARGENTONA","200:00",62,10,25,"40.0%",16,37,"43.2%",7,26,"26.9%",15,29,1,6,0,2,4,14,3,12,1,3,2,6,12,36,9,12,5,17,0,21,18,3,6,20
"OPPONENT","SANT GERVASI","-",63,21,37,"56.8%",13,30,"43.3%",5,25,"20.0%",12,21,1,8,0,1,5,19,0,6,3,5,2,1,6,37,0,18,1,19,0,17,12,5,6,6
