Game Date: 2026-09-13,Our Team: CB Argentona,Opponent: Sant Gervasi
Period,Game Clock,Timestamp,Slot,Player,Possession State,Action,Zone,Result,Duration(s),Paint Touch,Fastbreak,Crunch Time
"Q1","10:00","18:26:02","3","#8","offense","Substitution","None","Slot 3: Out #8 / In #24",0,"No","No","No"
"Q1","10:00","18:26:12","4","#1","offense","Substitution","None","Slot 4: Out #1 / In #13",0,"No","No","No"
"Q1","09:44","18:31:39","3","#24","offense","Turnover (Live)","None","Loss",14.9,"No","No","No"
"Q1","09:34","18:31:51","2","#9","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","09:34","18:32:14","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",10,"No","No","No"
"Q1","09:34","18:32:16","5","#13","defense","Def Rebound","None","Success",10,"No","No","No"
"Q1","09:19","18:32:32","3","#24","offense","ATB3 Shot","ATB3","Miss",5,"No","Yes","No"
"Q1","09:19","18:32:33","Team","Team","offense","Opponent Def Rebound","None","Loss",5,"No","No","No"
"Q1","09:14","18:32:38","Team","Team","defense","Opponent RIM Shot","RIM","Make",4.7,"Yes","Yes","No"
"Q1","09:05","18:32:54","4","#11","offense","RIM Shot","RIM","Make",9.2,"Yes","No","No"
"Q1","08:51","18:33:12","Team","Team","defense","Opponent RIM Shot","RIM","Miss",13.9,"Yes","No","No"
"Q1","08:51","18:33:12","5","#13","defense","Block","None","Success",13.9,"No","No","No"
"Q1","08:49","18:33:13","3","#24","defense","Def Rebound","None","Success",15.4,"No","No","No"
"Q1","08:09","18:33:42","3","#24","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q1","08:09","18:33:46","3","#24","offense","FT","None","Miss",10,"No","No","No"
"Q1","08:09","18:33:57","3","#24","offense","FT","None","Make",10,"No","No","No"
"Q1","08:00","18:34:09","3","#24","defense","Deflection","None","Success",9.4,"No","No","No"
"Q1","07:54","18:34:49","Team","Team","defense","Opponent MR Shot","MR","Miss",15,"No","No","No"
"Q1","07:54","18:34:49","4","#11","defense","Block","None","Success",15,"No","No","No"
"Q1","07:54","18:34:52","Team","Team","defense","Opponent Off Reb","None","Loss",15,"No","No","No"
"Q1","07:44","18:35:12","1","#7","defense","Steal","None","Success",19.9,"No","No","No"
"Q1","07:40","18:35:16","3","#24","offense","Turnover (Live)","None","Loss",4,"No","No","No"
"Q1","07:31","18:35:26","4","#11","defense","Deflection","None","Success",9,"No","No","No"
"Q1","07:19","18:35:53","1","#7","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","07:19","18:35:56","4","#11","defense","Steal","None","Success",10,"No","No","No"
"Q1","07:02","18:36:13","2","#9","offense","MR Shot","MR","Miss",16.9,"No","No","No"
"Q1","07:00","18:36:15","5","#13","offense","Off Rebound","None","Success",18.6,"No","No","No"
"Q1","06:59","18:36:36","2","#9","offense","ATB3 Shot","ATB3","Miss",11.2,"No","No","No"
"Q1","06:59","18:36:37","5","#13","offense","Off Rebound","None","Success",11.2,"No","No","No"
"Q1","06:55","18:36:52","2","#9","offense","ATB3 Shot","ATB3","Make",14.3,"No","No","No"
"Q1","06:39","18:37:14","3","#24","defense","Personal Foul","None","Foul #1",5.4,"No","No","No"
"Q1","06:39","18:37:19","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",5.4,"No","No","No"
"Q1","06:26","18:37:37","5","#13","offense","RIM Shot","RIM","Miss",13.6,"Yes","No","No"
"Q1","06:25","18:37:37","Team","Team","offense","Opponent Def Rebound","None","Loss",14.4,"No","No","No"
"Q1","06:19","18:37:47","1","#7","defense","Personal Foul","None","Foul #2",5.4,"No","No","No"
"Q1","06:19","18:38:04","Team","Team","defense","Opponent C3 Shot","C3","Miss",5.4,"No","No","No"
"Q1","06:19","18:38:07","4","#11","defense","Def Rebound","None","Success",5.4,"No","No","No"
"Q1","06:13","18:38:15","3","#24","offense","Assist","None","To ##9",6.1,"No","Yes","No"
"Q1","06:13","18:38:15","2","#9","offense","ATB3 Shot","ATB3","Make",6.1,"No","No","No"
"Q1","05:32","18:38:38","Team","Team","defense","Opponent RIM Shot","RIM","Miss",1.1,"Yes","No","No"
"Q1","05:32","18:38:41","3","#24","defense","Def Rebound","None","Success",1.1,"No","No","No"
"Q1","05:30","18:39:44","3","#24","offense","Assist","None","To ##9",0.4,"Yes","No","No"
"Q1","05:30","18:39:44","2","#9","offense","RIM Shot","RIM","Make",0.4,"No","No","No"
"Q1","05:30","18:39:46","Team","Team","defense","Timeout","None","Sant Gervasi",0,"No","No","No"
"Q1","05:30","18:40:28","1","#7","defense","Substitution","None","Slot 1: Out #7 / In #23",0,"No","No","No"
"Q1","05:25","18:40:34","3","#24","defense","Substitution","None","Slot 3: Out #24 / In #32",5.1,"No","No","No"
"Q1","05:18","18:40:47","2","#9","defense","Deflection","None","Success",11.5,"No","No","No"
"Q1","05:18","18:40:47","Team","Team","defense","Opponent Turnover","None","Success",11.5,"No","No","No"
"Q1","04:52","18:41:26","5","#13","offense","Turnover (Live)","None","Loss",6.8,"No","No","No"
