Game Date: 2026-09-02,Our Team: CB Argentona,Opponent: Spartans,Report: Advanced Metrics (Full Game Final)

Metric,"Our Team (CB Argentona)","Opponent (Spartans)"
Game Score,77,70
1. Effective FG% (eFG%),"47.2%","40.0%"
2. Turnover Rate (TO%),"27.3%","24.4%"
3. Offensive Rebound% (OREB%),"43.5%","30.2%"
4. Free Throw Rate (FT Rate),0.14,0.17
Overall Points Per Shot (PPS),1.08,0.65
Paint Touch PPS,0.87,1.00
Non-Paint Touch PPS,1.03,0.58
Fastbreak PPS,1.12,1.00
Half-Court PPS,1.07,1.04
Total Paint Touches,51,34
Total Fastbreaks,24,26
2nd Chance Points,16,14
Defensive Kills (3 Stops),11,10
Stocks (Steals + Blocks),20,24
Team Fouls,5,8
