Game Date: 2026-08-31,Our Team: CB Argentona,Opponent: Spartans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Name,MIN,Points,FTM,FTA,FT%,2PM,2PA,2P%,3PM,3PA,3P%,RIM(M),RIM(A),PAINT(M),PAINT(A),MR(M),MR(A),ATB3(M),ATB3(A),C3(M),C3(A),FB(M),FB(Miss),2ndCh(M),2ndCh(Miss),Off Reb,Def Reb,Assists,Steals,Blocks,Stocks,Deflections,Turnovers,LTO,DTO,Fouls,Fouls Drawn,,,
#7,Iñaki Jarque,10:21,3,0,0,0.0%,0,2,0.0%,1,1,100.0%,0,2,0,0,0,0,0,0,1,1,0,1,0,1,2,1,2,1,0,1,0,5,3,2,2,0,,,
#8,Xavi Blanco,19:46,4,0,2,0.0%,2,2,100.0%,0,7,0.0%,1,1,0,0,1,1,0,5,0,2,0,0,1,0,1,0,3,2,0,2,2,6,3,3,2,1,,,
#9,Martí Martori,27:40,21,3,4,75.0%,3,6,50.0%,4,8,50.0%,2,3,0,1,1,2,1,4,3,4,2,2,2,0,1,3,0,5,0,5,0,5,3,2,5,3,,,
#11,Biel Font,25:21,29,2,4,50.0%,9,16,56.3%,3,3,100.0%,8,12,0,3,1,1,2,2,1,1,1,2,1,2,2,5,0,0,0,0,1,0,0,0,4,3,,,
#13,Àlex López,15:57,1,1,4,25.0%,0,2,0.0%,0,0,0.0%,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,2,3,0,1,0,1,0,3,,,
#16,Izan Santos,21:27,9,3,4,75.0%,3,6,50.0%,0,0,0.0%,2,5,1,1,0,0,0,0,0,0,0,1,1,1,4,4,2,1,2,3,1,1,1,0,2,3,,,
#23,Pol Villagrasa,27:27,1,1,2,50.0%,0,1,0.0%,0,3,0.0%,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,4,3,0,3,1,3,3,0,1,2,,,
#24,Pau Peiró,23:39,4,0,0,0.0%,2,4,50.0%,0,1,0.0%,2,4,0,0,0,0,0,1,0,0,0,2,1,0,1,3,5,4,0,4,1,7,7,0,0,2,,,
#32,Aitor Basterra,16:13,3,0,0,0.0%,0,0,0.0%,1,5,20.0%,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0,1,1,,,
#35,Armando José Holguin,12:09,2,0,0,0.0%,1,4,25.0%,0,0,0.0%,1,3,0,1,0,0,0,0,0,0,0,1,0,2,2,4,3,0,2,2,0,1,1,0,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
