Game Date: 2026-08-31,Our Team: CB Argentona,Opponent: Spartans
Period,Game Clock,Timestamp,Slot,Player,Possession State,Action,Zone,Result,Duration(s),Paint Touch,Fastbreak,Crunch Time
"Q1","10:00","21:43:39","3","#6","defense","Substitution","None","Slot 3: Out #6 / In #24",0,"No","No","No"
"Q1","10:00","21:43:43","5","#9","defense","Substitution","None","Slot 5: Out #9 / In #13",0,"No","No","No"
"Q1","09:56","21:46:22","1","#7","offense","RIM Shot","RIM","Miss",3.2,"Yes","Yes","No"
"Q1","09:53","21:46:26","1","#7","offense","Off Rebound","None","Success",6.5,"No","No","No"
"Q1","09:42","21:46:41","1","#7","offense","Assist","None","To ##11",21,"No","No","No"
"Q1","09:42","21:46:41","4","#11","offense","ATB3 Shot","ATB3","Make",21,"No","No","No"
"Q1","09:33","21:46:52","Team","Team","defense","Opponent MR Shot","MR","Miss",9.4,"No","No","No"
"Q1","09:30","21:46:55","4","#11","defense","Def Rebound","None","Success",12.4,"No","No","No"
"Q1","09:13","21:47:15","3","#24","offense","RIM Shot","RIM","Make",16.5,"Yes","No","No"
"Q1","09:03","21:47:28","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",10.1,"No","No","No"
"Q1","08:35","21:47:47","2","#8","offense","Turnover (Dead)","None","Loss",8,"No","No","No"
"Q1","08:24","21:48:09","4","#11","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","08:24","21:48:17","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","08:24","21:48:28","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","08:08","21:49:02","4","#11","offense","RIM Shot","RIM","Make",0,"Yes","Yes","No"
"Q1","08:08","21:49:02","4","#11","offense","Opponent Foul","None","Success",0,"No","No","No"
"Q1","08:08","21:49:05","4","#11","offense","FT","None","Make",0,"No","No","No"
"Q1","07:52","21:49:24","Team","Team","defense","Opponent Turnover","None","Unforced",16,"No","No","No"
"Q1","07:32","21:49:47","3","#24","offense","ATB3 Shot","ATB3","Miss",19.9,"No","No","No"
"Q1","07:29","21:49:50","1","#7","offense","Off Rebound","None","Success",23,"No","No","No"
"Q1","07:27","21:49:52","1","#7","offense","RIM Shot","RIM","Miss",12,"Yes","No","No"
"Q1","07:26","21:49:53","Team","Team","offense","Opponent Def Rebound","None","Loss",12.7,"No","No","No"
"Q1","07:22","21:50:03","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",0,"No","Yes","No"
"Q1","07:14","21:50:24","2","#8","offense","Opponent Foul","None","Success",7.3,"No","No","No"
"Q1","07:14","21:50:32","2","#8","offense","FT","None","Miss",7.3,"No","No","No"
"Q1","07:14","21:50:43","2","#8","offense","FT","None","Miss",7.3,"No","No","No"
"Q1","07:14","21:50:44","Team","Team","offense","Opponent Def Rebound","None","Loss",7.3,"No","No","No"
"Q1","06:59","21:51:03","4","#11","defense","Deflection","None","Success",15.3,"No","No","No"
"Q1","06:59","21:51:06","2","#8","defense","Steal","None","Success",15.3,"No","No","No"
"Q1","06:51","21:51:14","3","#24","offense","RIM Shot","RIM","Miss",7.6,"Yes","Yes","No"
"Q1","06:50","21:51:15","Team","Team","offense","Opponent Def Rebound","None","Loss",8.5,"No","No","No"
"Q1","06:48","21:51:17","Team","Team","defense","Opponent RIM Shot","RIM","Miss",2.1,"Yes","Yes","No"
"Q1","06:47","21:51:18","Team","Team","defense","Def Rebound","None","Success",3.3,"No","No","No"
"Q1","06:40","21:51:27","1","#7","offense","Assist","None","To ##11",6.7,"No","Yes","No"
"Q1","06:40","21:51:27","4","#11","offense","ATB3 Shot","ATB3","Make",6.7,"No","No","No"
"Q1","06:03","21:51:42","5","#13","defense","Steal","None","Success",7.3,"No","No","No"
"Q1","05:48","21:52:16","5","#13","offense","RIM Shot","RIM","Miss",15.4,"Yes","No","No"
"Q1","05:47","21:52:17","Team","Team","offense","Opponent Def Rebound","None","Loss",16,"No","No","No"
"Q1","05:43","21:52:29","4","#11","defense","Personal Foul","None","Foul #2",4.4,"No","No","No"
"Q1","05:34","21:52:41","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",13.1,"No","No","No"
"Q1","05:33","21:52:43","1","#7","defense","Def Rebound","None","Success",14.5,"No","No","No"
"Q1","05:23","21:52:57","1","#7","offense","Substitution","None","Slot 1: Out #7 / In #9",9.6,"No","No","No"
"Q1","05:23","21:52:58","2","#8","offense","Substitution","None","Slot 2: Out #8 / In #16",9.6,"No","No","No"
"Q1","05:23","21:53:00","3","#24","offense","Substitution","None","Slot 3: Out #24 / In #23",9.6,"No","No","No"
"Q1","05:23","21:53:02","4","#11","offense","Substitution","None","Slot 4: Out #11 / In #32",9.6,"No","No","No"
"Q1","05:23","21:53:03","5","#13","offense","Substitution","None","Slot 5: Out #13 / In #35",9.6,"No","No","No"
"Q1","05:23","21:53:27","1","#23","offense","ATB3 Shot","ATB3","Miss",9.6,"No","No","No"
"Q1","05:23","21:53:28","4","#16","offense","Off Rebound","None","Success",9.6,"No","No","No"
"Q1","05:23","21:53:42","2","#9","offense","Turnover (Dead)","None","Loss",10,"No","No","No"
"Q1","04:56","21:53:59","2","#9","defense","Personal Foul","None","Foul #1",7,"No","No","No"
"Q1","04:56","21:54:11","Team","Team","defense","Opponent PAINT Shot","PAINT","Miss",7,"Yes","Yes","No"
"Q1","04:56","21:54:12","5","#35","defense","Def Rebound","None","Success",7,"No","No","No"
"Q1","04:47","21:54:22","2","#9","offense","Turnover (Live)","None","Loss",9.5,"No","No","No"
"Q1","04:39","21:54:38","5","#35","defense","Personal Foul","None","Foul #1",7.2,"No","No","No"
"Q1","04:39","21:54:48","Team","Team","defense","Opponent FT Score","None","Loss",7.2,"No","No","No"
"Q1","04:39","21:55:00","Team","Team","defense","Opponent FT Score","None","Loss",7.2,"No","No","No"
"Q1","04:30","21:55:20","5","#35","offense","Assist","None","To ##16",9.4,"Yes","No","No"
"Q1","04:30","21:55:20","4","#16","offense","RIM Shot","RIM","Make",9.4,"No","No","No"
"Q1","03:56","21:55:39","Team","Team","defense","Opponent MR Shot","MR","Miss",14.1,"No","No","No"
"Q1","03:55","21:55:40","Team","Team","defense","Opponent Off Reb","None","Loss",14.9,"No","No","No"
"Q1","03:54","21:55:45","Team","Team","defense","Opponent RIM Shot","RIM","Make",0,"Yes","Yes","No"
"Q1","03:44","21:55:56","2","#9","offense","RIM Shot","RIM","Miss",9.8,"Yes","No","No"
"Q1","03:43","21:55:57","Team","Team","offense","Opponent Def Rebound","None","Loss",10.4,"No","No","No"
"Q1","03:39","21:56:01","2","#9","defense","Steal","None","Success",4.4,"No","No","No"
"Q1","03:35","21:56:12","2","#9","offense","Opponent Foul","None","Success",3.3,"No","No","No"
"Q1","03:35","21:56:27","1","#23","offense","Assist","None","To ##9",3.3,"No","Yes","No"
"Q1","03:35","21:56:27","2","#9","offense","C3 Shot","C3","Make",3.3,"No","No","No"
"Q1","03:30","21:56:36","2","#9","defense","Steal","None","Success",5.3,"No","No","No"
"Q1","03:29","21:56:40","2","#9","offense","RIM Shot","RIM","Make",0.9,"Yes","Yes","No"
"Q1","03:20","21:56:52","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",9.2,"No","No","No"
"Q1","03:18","21:56:54","2","#9","defense","Def Rebound","None","Success",11.1,"No","No","No"
"Q1","03:06","21:57:06","2","#9","offense","ATB3 Shot","ATB3","Miss",11.7,"No","No","No"
"Q1","03:06","21:57:07","Team","Team","offense","Opponent Def Rebound","None","Loss",12.5,"No","No","No"
"Q1","02:42","21:57:53","1","#23","defense","Personal Foul","None","Foul #1",3.4,"No","No","No"
"Q1","02:42","21:57:54","Team","Team","defense","Opponent FT Score","None","Loss",3.4,"No","No","No"
"Q1","02:42","21:58:03","Team","Team","defense","Opponent FT Score","None","Loss",3.4,"No","No","No"
"Q1","02:25","21:58:26","1","#23","offense","Assist","None","To ##9",17.6,"No","No","No"
"Q1","02:25","21:58:26","2","#9","offense","ATB3 Shot","ATB3","Make",17.6,"No","No","No"
"Q1","02:09","21:58:43","1","#23","defense","Steal","None","Success",15.5,"No","No","No"
"Q1","02:00","21:58:53","3","#32","offense","ATB3 Shot","ATB3","Miss",9.3,"No","No","No"
"Q1","01:55","21:58:58","Team","Team","offense","Opponent Def Rebound","None","Loss",14.6,"No","No","No"
"Q1","01:40","21:59:13","Team","Team","defense","Opponent MR Shot","MR","Miss",14.3,"No","No","No"
"Q1","01:39","21:59:14","Team","Team","defense","Opponent Off Reb","None","Loss",15.3,"No","No","No"
"Q1","01:38","21:59:16","Team","Team","defense","Opponent PAINT Shot","PAINT","Make",11.5,"Yes","No","No"
"Q1","01:14","21:59:42","1","#23","offense","C3 Shot","C3","Miss",23.6,"No","No","No"
"Q1","01:14","21:59:46","4","#16","offense","Off Rebound","None","Success",0,"No","No","No"
"Q1","01:14","21:59:56","4","#16","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q1","01:14","22:00:01","4","#16","offense","FT","None","Miss",10,"No","No","No"
"Q1","01:14","22:00:13","4","#16","offense","FT","None","Make",10,"No","No","No"
"Q1","01:11","22:00:19","5","#35","defense","Substitution","None","Slot 5: Out #35 / In #13",2.4,"No","No","No"
"Q1","00:50.2","22:00:46","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",0,"No","Yes","No"
"Q1","00:50.2","22:00:48","3","#32","defense","Def Rebound","None","Success",0,"No","No","No"
"Q1","00:44.0","22:01:48","3","#32","offense","ATB3 Shot","ATB3","Make",11.2,"No","No","No"
"Q1","00:29.0","22:02:07","Team","Team","defense","Opponent PAINT Shot","PAINT","Miss",15,"Yes","No","No"
"Q1","00:28.3","22:02:07","Team","Team","defense","Opponent Off Reb","None","Loss",15.7,"No","No","No"
"Q1","00:27.4","22:02:08","Team","Team","defense","Opponent RIM Shot","RIM","Miss",10.9,"Yes","No","No"
"Q1","00:25.1","22:02:11","4","#16","defense","Def Rebound","None","Success",13.2,"No","No","No"
"Q1","00:10.2","22:02:25","1","#23","offense","Substitution","None","Slot 1: Out #23 / In #8",4.9,"No","No","No"
"Q1","00:10.2","22:03:14","Team","Team","offense","Timeout","None","CB Argentona",4.9,"No","No","No"
"Q1","00:03.0","22:04:30","2","#9","offense","ATB3 Shot","ATB3","Miss",0,"No","Yes","No"
"Q1","00:03.0","22:04:32","1","#8","offense","Off Rebound","None","Success",0,"No","No","No"
"Q1","00:01.8","22:04:37","1","#8","offense","RIM Shot","RIM","Make",11.1,"Yes","No","No"
"Q2","10:00","22:05:02","Team","Team","defense","Period Change","None","Started Quarter 2",0,"No","No","No"
"Q2","09:47","22:06:04","2","#9","offense","Turnover (Dead)","None","Loss",3.5,"No","No","No"
"Q2","09:47","22:06:40","2","#9","defense","Personal Foul","None","Foul #2",0,"No","No","No"
"Q2","09:47","22:06:41","Team","Team","defense","Opponent FT Miss","None","Loss",0,"No","No","No"
"Q2","09:47","22:06:41","Team","Team","defense","Opponent FT Score","None","Loss",0,"No","No","No"
"Q2","09:42","22:06:49","3","#32","offense","Substitution","None","Slot 3: Out #32 / In #24",4.7,"No","No","No"
"Q2","09:25","22:07:08","1","#8","offense","C3 Shot","C3","Miss",22.5,"No","No","No"
"Q2","09:23","22:07:11","5","#13","offense","Off Rebound","None","Success",0,"No","No","No"
"Q2","09:23","22:07:36","5","#13","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q2","09:23","22:07:36","5","#13","offense","FT","None","Make",10,"No","No","No"
"Q2","09:23","22:07:41","5","#13","offense","FT","None","Miss",10,"No","No","No"
