Game Date: 2026-09-04,Our Team: CB Argentona,Opponent: Maristes Ademar,Report: Advanced Metrics (Full Game Final)

Metric,"Our Team (CB Argentona)","Opponent (Maristes Ademar)"
Game Score,84,54
1. Effective FG% (eFG%),"45.9%","36.5%"
2. Turnover Rate (TO%),"15.1%","30.4%"
3. Offensive Rebound% (OREB%),"33.3%","11.1%"
4. Free Throw Rate (FT Rate),0.22,0.40
Overall Points Per Shot (PPS),1.14,1.13
Points Off Live TO (PTS OFF TO),20,6
Live Turnovers (LTO),8,21
Dead Turnovers (DTO),7,5
Total Fastbreaks,35,20
2nd Chance Points,12,4
Defensive Kills (3 Stops),10,7
Stocks (Steals + Blocks),25,9
Team Fouls,5,2
