Game Date: 2026-08-31,Our Team: CB Argentona,Opponent: Maristes Ademar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Name,MIN,Points,FTM,FTA,FT%,2PM,2PA,2P%,3PM,3PA,3P%,RIM(M),RIM(A),PAINT(M),PAINT(A),MR(M),MR(A),ATB3(M),ATB3(A),C3(M),C3(A),FB(M),FB(Miss),2ndCh(M),2ndCh(Miss),Off Reb,Def Reb,Assists,Steals,Blocks,Stocks,Deflections,Turnovers,LTO,DTO,Fouls,Fouls Drawn
#1,Víctor Domingo,11:03,0,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,1,1,0,0
#7,Iñaki Jarque,18:08,1,1,2,50.0%,0,3,0.0%,0,2,0.0%,0,3,0,0,0,0,0,1,0,1,0,4,0,1,2,4,1,0,0,0,0,4,2,2,5,1
#8,Jordi Borras,11:34,2,0,0,0.0%,1,2,50.0%,0,2,0.0%,0,0,0,0,1,2,0,1,0,1,0,1,0,1,1,2,0,1,1,2,0,0,0,0,0,0
#9,Martí Martori,26:30,29,4,6,66.7%,5,8,62.5%,5,10,50.0%,4,6,1,1,0,1,3,8,2,2,2,4,0,1,1,2,0,3,0,3,1,1,0,1,3,6
#11,Biel Font,21:18,9,1,2,50.0%,4,9,44.4%,0,3,0.0%,4,7,0,2,0,0,0,3,0,0,1,4,1,1,3,5,0,2,0,2,0,1,1,0,1,1
#13,Àlex López,18:27,3,1,2,50.0%,1,2,50.0%,0,1,0.0%,1,2,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,2,1,3,2,1,1,0,4,1
#16,Izan Santos,25:09,14,6,7,85.7%,4,8,50.0%,0,0,0.0%,3,6,1,2,0,0,0,0,0,0,1,1,1,2,3,8,5,3,0,3,2,1,1,0,3,4
#23,Pol Villagrasa,24:52,8,1,2,50.0%,2,6,33.3%,1,2,50.0%,1,3,1,2,0,1,1,2,0,0,0,3,1,0,2,1,2,2,2,4,0,0,0,0,2,1
#24,Pau Peiró,27:28,11,2,3,66.7%,3,6,50.0%,1,2,50.0%,3,6,0,0,0,0,1,2,0,0,1,2,1,0,0,8,4,3,0,3,2,3,1,2,2,2
#32,Aitor Basterra,15:31,7,0,0,0.0%,2,3,66.7%,1,4,25.0%,2,2,0,1,0,0,1,4,0,0,0,0,0,0,1,0,2,3,0,3,0,2,1,1,5,0
Team,Team Rebounds / TO,-,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TOTALS,CB ARGENTONA,200:00:00,84,16,24,66.7%,22,48,45.8%,8,26,30.8%,18,36,3,8,1,4,6,21,2,5,5,20,5,6,17,32,15,21,4,29,7,15,8,7,24,16
OPPONENT,MARISTES ADEMAR,-,54,19,26,73.1%,10,27,37.0%,5,21,23.8%,7,15,1,8,2,4,5,20,0,1,6,14,2,0,4,34,0,8,1,9,0,26,21,5,16,24
