Game Date: 2026-08-31,Our Team: CB Argentona,Opponent: Maristes Ademar
Period,Game Clock,Timestamp,Slot,Player,Possession State,Action,Zone,Result,Duration(s),Paint Touch,Fastbreak,Crunch Time
"Q1","10:00","17:56:03","1","#1","defense","Substitution","None","Slot 1: Out #1 / In #23",0,"No","No","No"
"Q1","10:00","17:56:13","4","#7","defense","Substitution","None","Slot 4: Out #7 / In #24",0,"No","No","No"
"Q1","10:00","17:56:22","3","#8","defense","Substitution","None","Slot 3: Out #8 / In #32",0,"No","No","No"
"Q1","10:00","17:56:54","5","#11","defense","Substitution","None","Slot 5: Out #11 / In #16",0,"No","No","No"
"Q1","09:48","17:58:36","3","#32","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","09:48","17:58:51","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","09:48","17:59:02","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","09:32","17:59:23","3","#32","offense","Assist","None","To ##9",15.2,"No","No","No"
"Q1","09:32","17:59:23","2","#9","offense","ATB3 Shot","ATB3","Make",15.2,"No","No","No"
"Q1","09:12","17:59:47","3","#32","defense","Steal","None","Success",20.2,"No","No","No"
"Q1","08:57","18:00:03","3","#32","offense","PAINT Shot","PAINT","Miss",15.7,"Yes","No","No"
"Q1","08:56","18:00:04","Team","Team","offense","Opponent Def Rebound","None","Loss",16.4,"No","No","No"
"Q1","08:43","18:00:17","4","#24","defense","Deflection","None","Success",12.6,"No","No","No"
"Q1","08:33","18:00:28","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",22.5,"No","No","No"
"Q1","08:33","18:00:28","1","#23","defense","Block","None","Success",22.5,"No","No","No"
"Q1","08:32","18:00:33","1","#23","defense","Def Rebound","None","Success",0,"No","No","No"
"Q1","08:28","18:00:39","3","#32","offense","Assist","None","To ##16",3.7,"Yes","Yes","No"
"Q1","08:28","18:00:47","1","#23","offense","Assist","None","To ##16",0,"Yes","Yes","No"
"Q1","08:28","18:00:47","5","#16","offense","RIM Shot","RIM","Make",0,"No","No","No"
"Q1","08:27","18:00:51","3","#32","defense","Steal","None","Success",1,"No","No","No"
"Q1","08:07","18:01:13","4","#24","offense","Turnover (Dead)","None","Loss",20.4,"No","No","No"
"Q1","07:47","18:01:22","Team","Team","defense","Timeout","None","Maristes Ademar",0,"No","No","No"
"Q1","07:35","18:03:12","3","#32","defense","Personal Foul","None","Foul #2",10,"No","No","No"
"Q1","07:27","18:03:27","4","#24","defense","Steal","None","Success",17.8,"No","No","No"
"Q1","07:23","18:03:33","4","#24","offense","Assist","None","To ##9",3.5,"Yes","Yes","No"
"Q1","07:23","18:03:33","2","#9","offense","RIM Shot","RIM","Make",3.5,"No","No","No"
"Q1","07:07","18:03:53","Team","Team","defense","Opponent RIM Shot","RIM","Miss",16,"Yes","No","No"
"Q1","07:06","18:03:54","Team","Team","defense","Opponent Off Reb","None","Loss",17.5,"No","No","No"
"Q1","06:46","18:04:29","4","#24","offense","Assist","None","To ##9",0.7,"No","Yes","No"
"Q1","06:46","18:04:29","2","#9","offense","C3 Shot","C3","Make",0.7,"No","No","No"
"Q1","06:41","18:04:37","Team","Team","defense","Opponent MR Shot","MR","Miss",5,"No","Yes","No"
"Q1","06:39","18:04:39","4","#24","defense","Def Rebound","None","Success",6.9,"No","No","No"
"Q1","06:36","18:04:57","5","#16","offense","Substitution","None","Slot 5: Out #16 / In #13",3.1,"No","No","No"
"Q1","06:16","18:05:09","2","#9","offense","Opponent Foul","None","Success",3.1,"No","No","No"
"Q1","06:16","18:05:10","2","#9","offense","FT","None","Make",3.1,"No","No","No"
"Q1","06:16","18:05:22","2","#9","offense","FT","None","Miss",3.1,"No","No","No"
"Q1","06:16","18:05:23","Team","Team","offense","Opponent Def Rebound","None","Loss",3.1,"No","No","No"
"Q1","06:01","18:05:38","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",14.7,"No","No","No"
"Q1","05:59","18:05:40","2","#9","defense","Def Rebound","None","Success",16.5,"No","No","No"
"Q1","05:50","18:05:53","5","#13","offense","Assist","None","To ##9",9.8,"No","No","No"
"Q1","05:50","18:05:53","2","#9","offense","ATB3 Shot","ATB3","Make",9.8,"No","No","No"
"Q1","05:40","18:06:06","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",9.4,"No","No","No"
"Q1","05:27","18:06:23","3","#32","offense","ATB3 Shot","ATB3","Miss",13.2,"No","No","No"
"Q1","05:26","18:06:24","Team","Team","offense","Opponent Def Rebound","None","Loss",14.3,"No","No","No"
"Q1","05:18","18:06:32","Team","Team","defense","Opponent RIM Shot","RIM","Make",7.7,"Yes","Yes","No"
"Q1","05:07","18:06:48","2","#9","offense","Turnover (Dead)","None","Loss",1,"No","No","No"
"Q1","05:07","18:06:57","1","#23","defense","Substitution","None","Slot 1: Out #23 / In #7",0,"No","No","No"
"Q1","05:07","18:07:11","4","#32","defense","Substitution","None","Slot 4: Out #32 / In #11",0,"No","No","No"
"Q1","05:07","18:07:17","2","#9","defense","Steal","None","Success",0,"No","No","No"
"Q1","05:05","18:07:19","2","#9","offense","RIM Shot","RIM","Miss",2.1,"Yes","Yes","No"
"Q1","05:05","18:07:20","Team","Team","offense","Opponent Def Rebound","None","Loss",2.5,"No","No","No"
"Q1","04:56","18:07:48","3","#24","defense","Personal Foul","None","Foul #1",8.3,"No","No","No"
"Q1","04:56","18:07:56","Team","Team","defense","Opponent Turnover","None","Unforced",8.3,"No","No","No"
"Q1","04:24","18:09:00","5","#13","offense","C3 Shot","C3","Miss",12.9,"No","No","No"
"Q1","04:23","18:09:00","Team","Team","offense","Opponent Def Rebound","None","Loss",13.7,"No","No","No"
"Q1","04:05","18:09:19","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",17.9,"No","No","No"
"Q1","04:03","18:09:21","3","#24","defense","Def Rebound","None","Success",19.3,"No","No","No"
"Q1","03:55","18:09:29","4","#11","offense","ATB3 Shot","ATB3","Miss",8.1,"No","No","No"
"Q1","03:54","18:09:31","1","#7","offense","Off Rebound","None","Success",9.7,"No","No","No"
"Q1","03:49","18:09:36","2","#9","offense","ATB3 Shot","ATB3","Miss",15,"No","No","No"
"Q1","03:48","18:09:37","Team","Team","offense","Opponent Def Rebound","None","Loss",15.8,"No","No","No"
"Q1","03:25","18:10:00","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",22.6,"No","No","No"
"Q1","03:24","18:10:02","1","#7","defense","Def Rebound","None","Success",23.9,"No","No","No"
"Q1","03:15","18:10:11","2","#9","offense","RIM Shot","RIM","Miss",9.5,"Yes","No","No"
"Q1","03:13","18:10:13","2","#9","offense","Off Rebound","None","Success",11.4,"No","No","No"
"Q1","03:08","18:11:01","3","#24","offense","Opponent Foul","None","Success",0,"No","No","No"
"Q1","03:08","18:11:02","3","#24","offense","FT","None","Miss",0,"No","No","No"
"Q1","03:08","18:11:26","3","#24","offense","FT","None","Make",0,"No","No","No"
"Q1","03:03","18:11:35","3","#24","defense","Substitution","None","Slot 3: Out #24 / In #8",5.4,"No","No","No"
"Q1","02:42","18:12:09","2","#9","offense","ATB3 Shot","ATB3","Miss",2.3,"No","Yes","No"
"Q1","02:41","18:12:10","Team","Team","offense","Opponent Def Rebound","None","Loss",3.2,"No","No","No"
"Q1","02:35","18:12:29","1","#7","defense","Personal Foul","None","Foul #1",5.7,"No","No","No"
"Q1","02:24","18:12:50","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",16.9,"No","No","No"
"Q1","02:23","18:12:51","Team","Team","defense","Opponent Off Reb","None","Loss",18.1,"No","No","No"
"Q1","02:22","18:12:52","Team","Team","defense","Opponent RIM Shot","RIM","Make",11,"Yes","No","No"
"Q1","02:09","18:13:09","4","#11","offense","Turnover (Live)","None","Loss",13,"No","No","No"
"Q1","02:01","18:13:17","5","#13","defense","Deflection","None","Success",8.2,"No","No","No"
"Q1","01:56","18:13:28","2","#9","defense","Substitution","None","Slot 2: Out #9 / In #1",12.9,"No","No","No"
"Q1","01:49","18:13:51","5","#13","defense","Steal","None","Success",20.2,"No","No","No"
"Q1","01:44","18:13:56","1","#7","offense","RIM Shot","RIM","Miss",4.8,"Yes","Yes","No"
"Q1","01:43","18:13:56","Team","Team","offense","Opponent Def Rebound","None","Loss",5.4,"No","No","No"
"Q1","01:33","18:14:07","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",10.1,"No","No","No"
